Gene,AB521M,AB551,AB555,AB559,AB580,AB630,HCI001,HCI002,HCI004,HCI005,HCI006,HCI008,HCI009,HCI010,HCI011,HCI014,IC006,IC007,STG139,STG139M,STG143,STG195,STG201,STG282,STG316,STG335,VHIO006,VHIO039,VHIO089,VHIO093,VHIO094,VHIO098,VHIO102,VHIO124,VHIO131,VHIO161,VHIO169,VHIO179,VHIO244
HES1,8.85852962908647,8.38277363086649,8.26918504413966,7.62568819280416,7.9846395962652,7.58265222544641,7.01484540074029,7.20627582492412,8.07642454642265,7.90853511178135,7.32108356174564,8.19961808190527,8.55957280198184,8.19943423606614,8.42414453603336,7.79907860365018,8.07949484105542,7.16830841849944,8.85368772950382,8.58523843831344,7.27028539566771,6.77079986820783,8.47012719929413,8.43016868998304,8.00946868100846,6.52842034876786,7.68968397990688,8.32039945439643,8.02719576278034,8.12022979250137,7.61663490112121,8.64993753605977,7.71993746797101,8.17063421779185,7.04793656361322,7.43289760728972,7.79068455712013,7.83419487555361,7.93961655328135
MYBL2,6.17998499566085,5.9820981447802,5.99448374177444,6.22802920161974,6.00537613155431,6.23761891843953,6.09797580556498,6.04623930175336,6.23315327687023,6.06718608287419,5.86214193804761,6.21136149966082,6.03818664167881,6.06016120741756,6.21355268453567,5.81792337521376,6.07941978231632,6.090460016994,6.12380734054802,6.20537291323931,5.99281076434508,6.00299711119714,6.21736480840743,6.3229939986184,6.30764774057207,6.17547642091169,6.15938057646606,6.6657058379194,6.07469938548476,6.10111249127862,6.1509151440739,6.12146858229664,6.01575912637358,6.19427238225931,5.96048494137899,6.22046765615365,5.99591456262027,6.31601746694084,6.36632630407256
CRK,6.90081038989789,6.78762000589175,7.36447821714744,7.29118569798415,7.66214994377878,6.82041925855475,7.08421181899866,7.50671980127955,6.88335972294818,7.00526253996299,6.91623732904694,7.82987181884685,7.20055357202668,7.24840841819777,6.75002757906704,6.77739067971836,7.21660208717406,6.63824005987578,7.57999574428579,7.57431527519897,6.96004995685322,7.2953541422783,7.89297822526417,6.78631308782188,7.08052468479264,6.55312771766548,7.04485319844034,6.97299392449067,6.20029189459932,6.87036977281255,7.46301491049927,7.37760349092249,6.55638177732939,6.81684816509303,7.17411476237795,6.61611129128895,6.76818859970075,7.3805256923388,7.20163582214737
UFM1,7.57230983924496,7.8509035471923,8.50337512918941,7.80867481785764,7.7810407571716,7.36878006221651,7.22694194216876,7.28842265136055,7.47629543197549,6.93613353388889,8.58709220607368,7.21436039872257,7.1698193227869,7.26990578903784,7.51267100923398,8.61224376187206,7.31293776567989,8.03062782074634,6.68444543187006,6.46838296172766,7.39479219877953,7.59994702940521,7.95666441873792,7.16120264681133,7.0121508236342,7.58047316214906,6.57226065664882,8.1095426453035,6.553938378929,8.17896971596478,6.62933617499297,6.80787037561823,8.05594625002239,8.32747871002427,7.35624740789679,7.6003718481289,8.48245668563542,7.23179333022066,7.72747757882632
GAA,7.23735297133229,6.55599577930036,8.2253292319189,6.69766272091378,8.34402571755639,7.99976321501425,7.38044639607821,7.15520478858296,6.6266261530689,8.18483407165346,8.60314299596851,7.77191220282842,7.08411090784866,6.65739486385159,8.44995089785803,7.60684262526438,8.53720778934737,7.87537640981603,7.01345794838313,6.56198829470549,7.39179000588503,7.39962346521883,7.60576028395371,7.68946589027467,7.57014257488639,7.10259182873861,7.80409594127176,7.36265925123779,6.79451531462321,7.97685627480693,7.30007992714429,7.47196267286766,7.76924513716626,6.99194774602899,8.50831645051242,6.74397830402107,7.34552266518821,6.91648371169049,6.92825240591164
HADH,10.9536443350295,10.2790591983108,11.3345116421976,11.3019399107478,10.928999274629,10.9217478035761,11.0595929416701,10.5245444524437,10.7171384828574,9.68788589443344,11.0842296857819,11.7109203967025,10.9972943384211,9.90259836736439,10.5176429761822,10.8214437653116,9.95926749757976,10.6382597138121,10.0542939419942,9.97178751915479,10.5296921919223,10.9375478230657,10.3753830507471,10.0293018206936,10.2205002173482,10.2523069653384,10.6935311290524,10.7314167322847,10.2280764695149,10.279029812384,10.1172677380633,10.8273996949959,10.807405536939,10.2163693712803,10.7644955233557,10.6814148409938,10.5826604038303,11.0884602258716,10.3311606591262
SMARCA4,10.6078874283316,10.1985815617256,10.5096455606929,10.9217478035761,10.8472424068637,10.6485142950509,10.7120879192094,10.6729647323576,10.5394986343962,11.0691270464366,10.4880835684428,10.1165698876737,10.3608020784263,9.9162937296399,9.74800445372461,9.82710970047426,10.4750694985245,10.0231652319047,11.7225519032981,12.0548501880409,9.91715441668284,10.5163341177168,10.6625778312697,10.7247715064104,10.3702589442489,11.7390826199169,9.99506348270118,10.1770047689425,10.7531542867693,10.6877229702612,11.3094073490409,11.2652592203016,10.370814579598,11.0504060554201,11.0932631078316,10.3099678957827,10.2562037156286,10.4003553329934,10.6535996961566
BAMBI,12.3482763079099,11.3075954886244,10.0314710872574,9.98238110735915,13.7125583975771,10.6424489947354,11.0626105297035,9.86615897612423,11.5551986268272,8.23554975395349,7.74636371666143,9.40226900016054,8.76896336370353,10.7314738321523,7.60204566935912,11.7400250339174,12.0541525368673,8.40004379408857,10.0357105102058,9.4112040138385,12.3675159761987,9.37900514551202,10.5739272654378,11.4351314697154,11.0823752161794,6.09087553033893,8.31680388654719,9.89728129812277,8.35387214349269,12.864336491199,12.7959122169157,12.297826014953,10.7713627626702,12.0213385280745,6.85276824685747,10.6824453604698,11.2559286392094,11.8335842739197,8.92241802713143
FOXO4,8.66053807678653,8.93372491867073,8.108986721771,7.12899655209051,9.45859307690097,8.68881467817355,7.625779917731,9.18750299543455,8.59030497178223,9.53897932568808,8.80275624500904,8.79991844022224,8.06544148475312,7.52363481217982,7.98965785666989,7.83782614122147,9.47937083104487,9.00989804340851,8.97841002865211,9.35976666418575,9.25501049220302,8.97052458708666,8.29585019340688,8.56785886737783,8.19975393313732,8.67297147595673,8.83085254691263,8.49307404173156,9.83006651662062,7.86632249371324,8.47790056507151,8.7549687431219,8.87246464800424,8.90138472962477,8.88235800522642,8.79180472970195,7.98550271953184,8.50068161098119,8.45238166821255
TGFBR2,7.6259810019175,6.98889772414262,6.03770431189233,6.71490003872505,5.97616329422737,6.26316395864885,6.2477839316695,7.70913348090609,7.63450330064326,7.13040323174947,7.09242126861,7.98424502723742,6.02098210235081,6.91739021745693,5.87877455255296,6.69992731180858,7.97971225247383,5.95480849262471,7.22554965940821,7.67866944262146,5.80888423397379,6.42232059092433,7.68241010184759,8.66826448385659,7.92258042674468,10.1381734308375,6.14158027308823,5.73831533365766,7.30384882975242,6.77854047743491,5.8220713727171,6.83956620708718,8.50737700188242,8.16563546813508,5.97772690338438,9.51235946889935,6.59910623944395,6.3919336648858,5.68476524926814
