,Unnamed: 0,row_name,smiles,auc
55,1233,ACH-000768,OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O,0.62187233710599
56,1251,ACH-000783,OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O,1.20024743095296
57,1252,ACH-000573,OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O,0.689129404957428
58,1281,ACH-000288,OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O,0.438258232714851
59,1288,ACH-000927,OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O,0.781047710463956
60,1317,ACH-000212,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.72648087903747
61,1322,ACH-000856,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.625843962443814
62,1338,ACH-000711,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.64733576365535
63,1362,ACH-000643,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.602422223086351
64,1366,ACH-000019,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.659640508383367
65,1372,ACH-000374,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.658081180895113
66,1375,ACH-000759,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.753330420795353
67,1386,ACH-000352,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.757654034003639
68,1392,ACH-000276,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.633441231293712
69,1436,ACH-000223,CCCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,0.720997720840971
